Woche;Event;Spieltyp;Spielort;TS Einsatz;TS vor dem Spiel;TS nach dem Spiel;TI;FQ;Sportpsychologe;Mittelfeld Heimspiel PIN;Mittelfeld Heimspiel PIC;Mittelfeld Heimspiel MOTS;Mittelfeld Auswärts-Derby PIN;Mittelfeld Auswärts-Derby PIC;Mittelfeld Auswärts-Derby MOTS;Mittelfeld Auswärts PIN;Mittelfeld Auswärts PIC;Mittelfeld Auswärts MOTS;Mittelfeld beim Spiel;Gegner
0;1;Reset;;;5.00;5.00;100;7;0;11.09;9.31;12.41;10.31;8.66;11.54;9.25;7.76;10.35;9.25;-
1;2;;;;5.00;5.00;100;7;0;11.09;9.31;12.41;10.31;8.66;11.54;9.25;7.76;10.35;9.25;-
1;3;;;;5.00;5.00;100;7;0;11.09;9.31;12.41;10.31;8.66;11.54;9.25;7.76;10.35;9.25;-
1;4;;;;5.00;5.00;100;7;0;11.09;9.31;12.41;10.31;8.66;11.54;9.25;7.76;10.35;9.25;-
1;5;;;;5.00;5.00;100;7;0;11.09;9.31;12.41;10.31;8.66;11.54;9.25;7.76;10.35;9.25;-
1;6;Turnier;Derby;PIC;5.00;6.67;100;7;0;11.09;9.31;12.41;10.31;8.66;11.54;9.25;7.76;10.35;8.66;U21 Severna Makedonija
1;7;;;;6.58;6.58;100;7;0;12.32;10.34;13.79;11.46;9.62;12.82;10.28;8.63;11.50;10.28;-
2;8;;;;8.49;8.49;100;7;0;13.80;11.58;15.44;12.83;10.77;14.36;11.51;9.66;12.88;11.51;-
1;9;Turnier;Away;PIC;6.50;8.67;100;7;0;12.26;10.29;13.72;11.40;9.57;12.76;10.22;8.58;11.44;8.58;U21 Northern Ireland
2;10;;;;8.31;8.31;100;7;0;13.66;11.47;15.29;12.71;10.67;14.22;11.40;9.57;12.76;11.40;-
2;11;;;;8.15;8.15;100;7;0;13.53;11.36;15.15;12.59;10.57;14.09;11.29;9.48;12.64;11.29;-
2;12;;;;7.99;7.99;100;7;0;13.41;11.26;15.01;12.47;10.47;13.96;11.19;9.39;12.52;11.19;-
2;13;Turnier;Derby;PIN;7.84;7.84;100;7;0;13.30;11.16;14.88;12.36;10.38;13.84;11.09;9.31;12.41;12.36;U21 Česko
2;14;;;;7.70;7.70;100;7;0;13.19;11.07;14.76;12.26;10.29;13.72;11.00;9.23;12.31;11.00;-
3;15;;;;9.83;9.83;100;7;0;14.84;12.46;16.61;13.80;11.59;15.45;12.38;10.39;13.86;12.38;-
2;16;Turnier;Derby;PIC;7.56;10.09;100;7;0;13.08;10.98;14.64;12.16;10.21;13.62;10.91;9.16;12.21;10.21;U21 Nederland
3;17;;;;9.59;9.59;100;7;0;14.65;12.30;16.40;13.63;11.44;15.25;12.22;10.26;13.68;12.22;-
3;18;;;;9.36;9.36;100;7;0;14.48;12.15;16.20;13.46;11.30;15.07;12.07;10.14;13.51;12.07;-
3;19;;;;9.14;9.14;100;7;0;14.31;12.01;16.01;13.30;11.17;14.89;11.93;10.02;13.36;11.93;-
3;20;Turnier;Away;PIC;8.94;11.91;100;7;0;14.15;11.87;15.83;13.15;11.04;14.72;11.80;9.90;13.21;9.90;U21 San Marino
3;21;;;;10.69;10.69;100;7;0;15.51;13.02;17.36;14.42;12.11;16.14;12.93;10.86;14.48;12.93;-
3;22;;;;10.41;10.41;100;7;0;15.29;12.83;17.11;14.22;11.93;15.91;12.75;10.70;14.27;12.75;-
4;23;;;;10.14;10.14;100;7;0;15.08;12.66;16.88;14.02;11.77;15.69;12.58;10.56;14.08;12.58;-
4;24;;;;9.88;9.88;100;7;0;14.88;12.49;16.65;13.84;11.61;15.49;12.41;10.42;13.89;12.41;-
4;25;;;;9.63;9.63;100;7;0;14.69;12.33;16.44;13.66;11.47;15.29;12.25;10.28;13.71;12.25;-
4;26;;;;9.40;9.40;100;7;0;14.51;12.18;16.24;13.49;11.33;15.10;12.10;10.16;13.54;12.10;-
4;27;;;;9.18;9.18;100;7;0;14.34;12.04;16.05;13.33;11.19;14.92;11.96;10.04;13.39;11.96;-
4;28;Turnier;Away;PIC;8.97;11.97;100;7;0;14.17;11.90;15.87;13.18;11.07;14.75;11.82;9.92;13.23;9.92;U21 Severna Makedonija
4;29;;;;10.69;10.69;100;7;0;15.51;13.02;17.36;14.42;12.11;16.14;12.93;10.86;14.48;12.93;-
5;30;;;;10.41;10.41;100;7;0;15.29;12.83;17.11;14.22;11.93;15.91;12.75;10.70;14.27;12.75;-
5;31;;;;10.14;10.14;100;7;0;15.08;12.66;16.88;14.02;11.77;15.69;12.58;10.56;14.08;12.58;-
5;32;;;;9.88;9.88;100;7;0;14.88;12.49;16.65;13.84;11.61;15.49;12.41;10.42;13.89;12.41;-
5;33;;;;9.63;9.63;100;7;0;14.69;12.33;16.44;13.66;11.47;15.29;12.25;10.28;13.71;12.25;-
5;34;;;;9.40;9.40;100;7;0;14.51;12.18;16.24;13.49;11.33;15.10;12.10;10.16;13.54;12.10;-
5;35;Turnier;Derby;PIC;9.18;12.24;100;7;0;14.34;12.04;16.05;13.33;11.19;14.92;11.96;10.04;13.39;11.19;U21 Northern Ireland
5;36;;;;10.69;10.69;100;7;0;15.51;13.02;17.36;14.42;12.11;16.14;12.93;10.86;14.48;12.93;-
6;37;;;;10.41;10.41;100;7;0;15.29;12.83;17.11;14.22;11.93;15.91;12.75;10.70;14.27;12.75;-
6;38;;;;10.14;10.14;100;7;0;15.08;12.66;16.88;14.02;11.77;15.69;12.58;10.56;14.08;12.58;-
6;39;;;;9.88;9.88;100;7;0;14.88;12.49;16.65;13.84;11.61;15.49;12.41;10.42;13.89;12.41;-
6;40;;;;9.63;9.63;100;7;0;14.69;12.33;16.44;13.66;11.47;15.29;12.25;10.28;13.71;12.25;-
